San Francisco  時平均,San Jose 氣溫,San Jose PM10,San Jose PM2.5,San Jose 濕度
00:00,21.46493151,47.21296244,33.33716899,79.06849315
01:00,21.15355191,44.92108959,31.51142519,79.53005464
02:00,20.92076503,42.96302163,30.43907089,79.86885246
03:00,20.69945355,41.75932577,29.60733138,79.98907104
04:00,20.48306011,40.365992,28.52467046,80.29508197
05:00,20.3090411,39.93263272,28.33319812,80.46849315
06:00,20.29344262,40.18146669,27.73636221,80.2568306
07:00,20.86393443,42.27417752,28.80117047,78.21311475
08:00,22.28739726,44.50355925,30.40542913,73.76849315
09:00,23.95628415,43.27015203,30.22384749,67.7704918
10:00,25.64480874,39.80402355,28.11856488,61.99453552
11:00,26.92349727,35.40300271,24.43561598,58.16393443
12:00,27.50273224,33.00378714,22.23860091,57.23497268
13:00,27.53551913,34.82211621,23.69136794,57.75409836
14:00,27.38251366,39.2836947,26.55004945,58.93989071
15:00,26.7704918,43.88251613,29.57519554,61.45355191
16:00,25.93442623,47.47094932,32.00929482,64.38797814
17:00,25.06557377,50.22450793,33.65152471,67.18579235
18:00,24.31147541,52.06884626,34.99645829,69.54098361
19:00,23.66666667,53.21777877,36.38574299,71.91803279
20:00,23.07103825,53.56251701,37.0945746,74.01092896
21:00,22.56830601,53.09053513,36.8598136,75.76502732
22:00,22.15846995,51.4013604,35.7564732,77.14754098
23:00,21.72677596,49.12832167,34.52630358,78.2295082
