San Francisco  時平均,San Francisco 氣溫,San Francisco 剩餘數量,San Francisco PM2.5,San Francisco雨量,San Francisco濕度,San Francisco風速,San Jose 氣溫,San Jose PM10,San Jose 細PM2.5,San Jose 雨量,San Jose 濕度,San Jose 風速
00:00,22.7994017,41.83104374,24.42651693,0.079452055,76.12232342,0.990136986,21.46493151,47.21296244,33.33716899,0.123835616,79.06849315,0.544657534
01:00,22.59971642,39.74863388,23.34152013,0.018579235,76.77268297,0.979781421,21.15355191,44.92108959,31.51142519,0.075409836,79.53005464,0.520765027
02:00,22.41640983,38.35519126,22.59342937,0.075409836,77.43889096,0.944262295,20.92076503,42.96302163,30.43907089,0.055737705,79.86885246,0.535519126
03:00,22.21994478,36.95628415,22.1949467,0.135519126,77.86205747,0.956830601,20.69945355,41.75932577,29.60733138,0.086338798,79.98907104,0.501092896
04:00,22.01993,35.61202186,21.37874535,0.124590164,78.28425939,0.943169399,20.48306011,40.365992,28.52467046,0.077595628,80.29508197,0.525136612
05:00,22.05095519,35.45988951,21.91151412,0.119452055,78.09080389,0.857534247,20.3090411,39.93263272,28.33319812,0.117808219,80.46849315,0.505205479
06:00,22.08685332,34.7431694,21.24083587,0.027322404,77.92337538,0.903825137,20.29344262,40.18146669,27.73636221,0.077595628,80.2568306,0.475409836
07:00,22.61848511,36.3989071,21.76675467,0.089617486,75.39800734,1.013661202,20.86393443,42.27417752,28.80117047,0.036065574,78.21311475,0.534972678
08:00,23.78121113,40.20377877,23.70661942,0.176986301,70.82878795,1.048082192,22.28739726,44.50355925,30.40542913,0.060273973,73.76849315,0.510684932
09:00,24.93943846,44.42622951,25.61726338,0.046994536,66.26229508,1.101092896,23.95628415,43.27015203,30.22384749,0.048087432,67.7704918,0.630601093
10:00,26.10244879,47.83879781,26.88965795,0.086338798,62.18579235,1.172131148,25.64480874,39.80402355,28.11856488,0.040437158,61.99453552,0.909289617
11:00,26.91294722,48.66666667,27.83144422,0.089617486,59.98360656,1.310382514,26.92349727,35.40300271,24.43561598,0.06557377,58.16393443,1.571038251
12:00,27.31804938,48.18579235,27.39134269,0.063387978,59.36612022,1.481967213,27.50273224,33.00378714,22.23860091,0.110382514,57.23497268,2.352459016
13:00,27.35252825,47.61226938,27.19746241,0.137704918,59.44808743,1.588797814,27.53551913,34.82211621,23.69136794,0.405464481,57.75409836,2.631147541
14:00,27.1888416,47.95553905,25.92964773,0.264480874,60.10928962,1.641803279,27.38251366,39.2836947,26.55004945,0.537704918,58.93989071,2.780874317
15:00,26.69121111,48.00234536,25.12295082,0.114754098,61.75136612,1.584699454,26.7704918,43.88251613,29.57519554,0.37704918,61.45355191,2.719672131
16:00,25.94722318,48.22295817,24.91495196,0.216393443,64.01639344,1.447814208,25.93442623,47.47094932,32.00929482,0.340983607,64.38797814,2.353551913
17:00,25.0662816,47.36872142,24.74717561,0.056830601,66.96721311,1.266666667,25.06557377,50.22450793,33.65152471,0.187978142,67.18579235,1.828415301
18:00,24.38701578,48.11569573,25.29917946,0.069945355,69.46994536,1.178688525,24.31147541,52.06884626,34.99645829,0.16284153,69.54098361,1.315300546
19:00,23.95235323,47.72899023,25.81053651,0.045901639,71.16393443,1.118032787,23.66666667,53.21777877,36.38574299,0.216393443,71.91803279,0.943715847
20:00,23.63268464,47.65686802,26.46791306,0.048087432,72.36612022,1.118032787,23.07103825,53.56251701,37.0945746,0.205464481,74.01092896,0.743715847
21:00,23.41288068,46.76325775,26.94682082,0.021857923,73.28961749,1.068306011,22.56830601,53.09053513,36.8598136,0.195628415,75.76502732,0.675956284
22:00,23.21087139,45.60612435,25.9343321,0.11147541,74.21857923,1.069945355,22.15846995,51.4013604,35.7564732,0.212021858,77.14754098,0.591803279
23:00,22.94490762,44.1685311,25.96961512,0.213114754,75.16393443,0.981967213,21.72677596,49.12832167,34.52630358,0.190163934,78.2295082,0.6
